"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","140","TC-API-009: Auth olmadan silme girişimi","","Wed Apr 15 15:16:58 UTC 2026","passed","Wed Apr 15 15:16:58 UTC 2026","Senior QA Engineer - API Case Study","Negative Scenarios","",""
"","138","TC-API-006: Yeni rezervasyon oluştur","","Wed Apr 15 15:16:57 UTC 2026","passed","Wed Apr 15 15:16:57 UTC 2026","Senior QA Engineer - API Case Study","Booking","",""
"","609","TC-API-001: Geçerli kullanıcı ile token al","","Wed Apr 15 15:16:56 UTC 2026","passed","Wed Apr 15 15:16:57 UTC 2026","Senior QA Engineer - API Case Study","Authentication","",""
"","276","TC-API-007: Rezervasyon güncelle (auth)","","Wed Apr 15 15:16:58 UTC 2026","passed","Wed Apr 15 15:16:58 UTC 2026","Senior QA Engineer - API Case Study","Booking","",""
"","141","TC-API-004: Geçerli ID ile rezervasyon detayı","","Wed Apr 15 15:16:57 UTC 2026","passed","Wed Apr 15 15:16:57 UTC 2026","Senior QA Engineer - API Case Study","Booking","",""
"","267","TC-API-008: Rezervasyon sil (auth)","","Wed Apr 15 15:16:58 UTC 2026","passed","Wed Apr 15 15:16:58 UTC 2026","Senior QA Engineer - API Case Study","Booking","",""
"","137","TC-API-002: Geçersiz şifre ile token isteği","","Wed Apr 15 15:16:57 UTC 2026","passed","Wed Apr 15 15:16:57 UTC 2026","Senior QA Engineer - API Case Study","Authentication","",""
"","141","TC-API-005: Geçersiz ID ile sorgu","","Wed Apr 15 15:16:57 UTC 2026","passed","Wed Apr 15 15:16:58 UTC 2026","Senior QA Engineer - API Case Study","Negative Scenarios","",""
"","269","TC-API-003: Tüm rezervasyonları listele","","Wed Apr 15 15:16:57 UTC 2026","passed","Wed Apr 15 15:16:57 UTC 2026","Senior QA Engineer - API Case Study","Booking","",""
